Statename,Districtname,Subdistrictname,Blockname,Healthblockname,Healthfacilitytype,Facilityname,NIN,latitude,longitude,facility_type_standardized
Odisha,Malkangiri,Kalimela,Kalimela,Kalimela,community health centre,Kalimela,4727743413,18.07243,81.75151,chc
Odisha,Malkangiri,Chitrakonda,Korukonda,Korukonda,sub district hospital,Chitrakonda,2646687570,18.11,82.11,sdh
Odisha,Malkangiri,Podia,Podia,Podia,community health centre,Podia,4365264870,18.17412,81.54366,chc
Odisha,Malkangiri,Orkel,Korukonda,Korukonda,community health centre,Korukonda,7237688168,18.27866,81.98146,chc
Odisha,Malkangiri,Orkel,Chitrakonda,Chitrakonda,community health centre,Kudumuluguma,1111447312,18.37251,82.18591,chc
Odisha,Malkangiri,Paparmetla,Malkangiri,Malkangiri,community health centre,Pandripani,1252333313,18.43372,82.0153,chc
Odisha,Malkangiri,Orkel,Khairaput,Khairaput,community health centre,Khairput,3425784455,18.48,82.22,chc
Odisha,Malkangiri,Mudulipada,Mathili,Mathili,sub district hospital,Mathili,3286383272,18.54,82.2,sdh
Odisha,Koraput,Similiguda,Notmapped,Semiliguda,community health centre,Sunabeda,1111472575,18.5472,82.7932,chc
Odisha,Koraput,Nandapur,Lamtaput,Lamptaput,community health centre,Lamtaput,7367237349,18.55053,82.48182,chc
Odisha,Koraput,Pottangi,Pottangi,Pattangi,community health centre,Pottangi,8852187361,18.55894,82.97139,chc
Odisha,Koraput,Nandapur,Nandapur,Nandapur,community health centre,Nandapur,7833154474,18.56297,82.7402,chc
Odisha,Koraput,Pottangi,Semiliguda,Semiliguda,community health centre,Kunduli,1221318411,18.59874,82.89643,chc
Odisha,Koraput,Boipariguda,Boipariguda,Boipariguda,community health centre,Boipariguda,8671174475,18.75051,82.43228,chc
Odisha,Koraput,Damonjodi,Koraput,Koraput,community health centre,Mathalput,7856243857,18.76449,82.9229,chc
Odisha,Gajapati,Gurandi,Gosani,Gosani,community health centre,Gurandi,6515352653,18.81861,84.22362,chc
Odisha,Gajapati,Kasinagar,Notmapped,Kashinagar,community health centre,Kashinagar,4237647427,18.85097,83.87415,chc
Odisha,Koraput,Kakiriguma,Narayan Patana,Narayanpatna,community health centre,Narayanpatna,5342231155,18.87591,83.17459,chc
Odisha,Koraput,Kundura,Kundura,Kundra,community health centre,Kundura,7617251512,18.91985,82.38064,chc
Odisha,Koraput,Bandhugaon,Bandhugaon,Bandhugaon,community health centre,Bandhugaon,4547428179,18.93736,83.24871,chc
Odisha,Koraput,Jeypore,Jeypore,Jeypur,community health centre,Rabanaguda,2674782541,18.95742,82.55618,chc
