Count,Statename,Districtname,Subdistrictname,Blockname,Healthblockname,Healthfacilitytype,Facilityname,Nin,Functionality of Facilities
8545,Odisha,Anugul,Anugul,Anugul,Notmapped,District Hospital,ANGUL,4588168262,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Health Sub Centre,Bentapur,8816671831,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Health Sub Centre,Gadataras,5245155717,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Health Sub Centre,Ikarabandha,7727871571,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Health Sub Centre,Jagannathpur,4767538178,
8545,Odisha,Anugul,Anugul,Banarpal,Banarpal,Health Sub Centre,Jarasingha,4434657427,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Health Sub Centre,Khalari,2774854653,
8545,Odisha,Anugul,Anugul,Banarpal,Banarpal,Health Sub Centre,Kuio,2678728359,
8545,Odisha,Anugul,Anugul,Banarpal,Banarpal,Health Sub Centre,Kukudang,4444247557,
8545,Odisha,Anugul,Anugul,Banarpal,Banarpal,Health Sub Centre,Kumanda,4665867729,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Health Sub Centre,Kumurisinga,4774464152,
8545,Odisha,Anugul,Anugul,Banarpal,Banarpal,Health Sub Centre,Kurudol,3862852385,
8545,Odisha,Anugul,Anugul,Banarpal,Banarpal,Health Sub Centre,Paratara,4717486353,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Health Sub Centre,Purunagarh,8756528769,
8545,Odisha,Anugul,Anugul,Banarpal,Banarpal,Health Sub Centre,Raniguda J,3258785587,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Health Sub Centre,Rantalei,7634476233,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Health Sub Centre,Saradhapur A,4718728621,
8545,Odisha,Anugul,Anugul,Anugul,Anugul,Primary Health Centre,Purunagarh,3573537481,
