district,village_id,name,subdistrict,tru_2011,nearest_dist_km,covered
kandhamal,415482,Sarupada,Phulabani,Rural,0.0039430903814191,Covered
balangir,421555,Marlad,Titlagarh,Rural,0.0083971951250709,Covered
rayagada,425400,Kumbhardhamuni,Bishamakatak,Rural,0.0096232915588091,Covered
boudh,418819,Gobindapur,Harbhanga,Rural,0.0119201587457823,Covered
boudh,418821,Dumukutch,Harbhanga,Rural,0.0119201587457823,Covered
boudh,418820,Talagaon,Harbhanga,Rural,0.0119201587457823,Covered
mayurbhanj,387557,Kathakuluta,Bahalda,Rural,0.0123060851650862,Covered
kalahandi,424017,Musapali,Kokasara,Rural,0.0137536504457995,Covered
nabarangpur,427723,Chandrapur,Paparahandi,Rural,0.0162610368921955,Covered
kandhamal,416056,Sirumu,Chakapada,Rural,0.0192430900908292,Covered
mayurbhanj,390813,Badajamuna,Khunta,Rural,0.0212381141652033,Covered
kandhamal,416812,Tilori A,Baliguda,Rural,0.0216345162421062,Covered
balangir,420421,Rusuda,Tushura,Rural,0.0224422420866559,Covered
kalahandi,422747,Dhoben,Narala,Rural,0.0245852802745972,Covered
baleshwar,393213,Sabajapur,Nilagiri,Rural,0.0258614958841561,Covered
baleshwar,393209,Daladali,Nilagiri,Rural,0.0258614958841561,Covered
mayurbhanj,389108,Kendua,Baripada Sadar,Rural,0.0267026455836433,Covered
sonepur,419611,Menda,Tarbha,Rural,0.0277911613149184,Covered
nabarangpur,427550,Dehurakona,Jharigan,Rural,0.0281083902400864,Covered
bargarh,380246,Dumerpali,Sohela,Rural,0.0281703901269379,Covered
malkangiri,430673,Chitrakonda CT,Chitrakonda,Urban,0.0282367699935739,Covered
sonepur,418853,Bahubasa,Dunguripali,Rural,0.0291638182180113,Covered
balangir,420238,Sikachhida,Balangir,Rural,0.0297998182686721,Covered
rayagada,426401,Kiamunda,Rayagada,Rural,0.0316106492857834,Covered
koraput,428345,Ranaspur,Bhairabsingipur,Rural,0.0361162349704738,Covered
rayagada,426350,Kailashpur,Rayagada,Rural,0.0379708288086788,Covered
cuttack,398789,Krishnachanrapur,Badamba,Rural,0.0400502774263475,Covered
keonjhar,385430,Jagannathapur,Champua,Rural,0.0404360093332306,Covered
cuttack,399206,Dalua,Khuntuni,Rural,0.0418513498498419,Covered
boudh,417676,Kekamanji,Kantamal,Rural,0.0419238852452611,Covered
boudh,417679,Dumurigora,Kantamal,Rural,0.0419238852452611,Covered
mayurbhanj,389363,Saradiha,Koliana,Rural,0.0419469171795391,Covered
kandhamal,416741,Kachabali,Baliguda,Rural,0.0427786407946175,Covered
sundargarh,383779,Raibaga,Bhasma,Rural,0.0428479996652896,Covered
rayagada,427062,Kandhalugurumundi,Padmapur,Rural,0.0430020944222645,Covered
rayagada,427060,Pangedikua,Padmapur,Rural,0.0430020944222645,Covered
rayagada,427058,Sundirguda Surjyaguda,Padmapur,Rural,0.0430020944222645,Covered
balangir,419976,Loisinga CT,Loisinga,Urban,0.0432580480142727,Covered
kandhamal,416739,Kutudupa,Baliguda,Rural,0.0434504229692796,Covered
baleshwar,393216,Santragadia,Nilagiri,Rural,0.0447952405102974,Covered
cuttack,398516,Badabhuin,Narasinghpur,Rural,0.0460038388519432,Covered
rayagada,427114,Gudia Bandha,Padmapur,Rural,0.0474535281067215,Covered
keonjhar,386596,Baghaghara,Ghatgaon,Rural,0.0476317972919913,Covered
keonjhar,385596,Nandapur,Baria,Rural,0.0491627094112129,Covered
kalahandi,424403,Rampur,Thuamul Rampur,Rural,0.0495169160106633,Covered
sambalpur,381703,Kilasama,Sasan,Rural,0.0498549433683315,Covered
balangir,420027,Rengali,Balangir,Rural,0.0520391870758071,Covered
rayagada,425863,Uparapadikhal,Kashipur,Rural,0.0522857036491957,Covered
nuapada,422193,Sinapali,Sinapali,Rural,0.052768298262534,Covered
balangir,420694,Kendumundi,Patnagarh,Rural,0.0527694573245023,Covered
mayurbhanj,388161,Bisoi,Bisoi,Rural,0.052943918063375,Covered
balangir,420222,Daspur,Balangir,Rural,0.0535546191999867,Covered
nabarangpur,427788,Badagumuda,Kodinga,Rural,0.053938215325737,Covered
rayagada,427061,Souralugurumundi,Padmapur,Rural,0.0543507674161793,Covered
rayagada,427063,Guluguda,Padmapur,Rural,0.0543507674161793,Covered
rayagada,427054,Phajilibandha,Padmapur,Rural,0.0543507674161793,Covered
rayagada,427056,Pusiguda,Padmapur,Rural,0.0543507674161793,Covered
balangir,420141,Malmunda,Balangir,Rural,0.0545088849181075,Covered
nabarangpur,427766,Sirisi,Paparahandi,Rural,0.0545918677103656,Covered
sambalpur,381526,Naktipali,Kochinda,Rural,0.05625930466346,Covered
bargarh,380227,Beherapali,Sohela,Rural,0.0571394333728586,Covered
nabarangpur,428075,Jagannathpur,Khatiguda,Rural,0.0587029034841293,Covered
ganjam,410441,Kandhachandanapedi,Buguda,Rural,0.0596791124150885,Covered
mayurbhanj,388681,Jhumukapal,Raruan,Rural,0.0600249804742404,Covered
sonepur,418999,Mahulpali,Rampur,Rural,0.0602031090769624,Covered
nayagarh,406373,Rautapada,Nayagarh Sadar,Rural,0.0609401297126904,Covered
kalahandi,423645,Chapria,Kegaon,Rural,0.0610855422859541,Covered
kandhamal,417404,Pangaraha,Daringbadi,Rural,0.0611909512228878,Covered
ganjam,411802,Jamajhola Banjar,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411799,Amalapada,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411798,Chatra Muthabana,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411648,Lachipur,Kodala,Rural,0.0613538809506206,Covered
ganjam,411647,Sorisamalei,Kodala,Rural,0.0613538809506206,Covered
ganjam,411785,Gunduripur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411784,Morainuagan,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411783,Badapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411788,Malakhojapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411787,Jharapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411776,Sanabola,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411775,Bolamalabhaliapadar,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411818,Kaithada,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411537,Panjiama,Polasara,Rural,0.0613538809506206,Covered
ganjam,411536,Kanjiama,Polasara,Rural,0.0613538809506206,Covered
ganjam,411526,Pantiama,Polasara,Rural,0.0613538809506206,Covered
ganjam,411525,Gobindapur,Polasara,Rural,0.0613538809506206,Covered
ganjam,411782,Bolamalaghodapada,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411781,Sarisapatbanjar,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411780,Sialiapat,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411778,Ramachandrapur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411779,Kurumpur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411871,Gurunthi,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411643,Bandhakhuntakata,Kodala,Rural,0.0613538809506206,Covered
ganjam,411644,Krushnasara,Kodala,Rural,0.0613538809506206,Covered
ganjam,411659,Sakallohill,Kodala,Rural,0.0613538809506206,Covered
ganjam,411645,Champakiari,Kodala,Rural,0.0613538809506206,Covered
ganjam,411646,Khasua,Kodala,Rural,0.0613538809506206,Covered
ganjam,411881,Odiaalapur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411639,Bhaliapada,Kodala,Rural,0.0613538809506206,Covered
ganjam,411627,Burupada,Kodala,Rural,0.0613538809506206,Covered
ganjam,411638,Bhabinipur,Kodala,Rural,0.0613538809506206,Covered
ganjam,411772,Chakasingh,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411774,Barabola,Khalikote,Rural,0.0613538809506206,Covered
ganjam,410399,Kanheipur,Buguda,Rural,0.0613538809506206,Covered
ganjam,411628,Kesaripur,Kodala,Rural,0.0613538809506206,Covered
ganjam,411880,Uparabalan Tarakhara,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411523,Patalasingi,Polasara,Rural,0.0613538809506206,Covered
ganjam,411640,Gopalpur,Kodala,Rural,0.0613538809506206,Covered
ganjam,411773,Chatragarahill,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411823,Khaitadabanabila,Khalikote,Rural,0.0613538809506206,Covered
ganjam,410401,Badatanda,Buguda,Rural,0.0613538809506206,Covered
ganjam,410400,Kriamba,Buguda,Rural,0.0613538809506206,Covered
ganjam,411622,Hansatoli,Kodala,Rural,0.0613538809506206,Covered
ganjam,411621,Rahada,Kodala,Rural,0.0613538809506206,Covered
ganjam,411620,Nuagada,Kodala,Rural,0.0613538809506206,Covered
ganjam,411637,Khidingi,Kodala,Rural,0.0613538809506206,Covered
ganjam,411825,Nagardihapatna,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411604,Malabelapada,Kodala,Rural,0.0613538809506206,Covered
ganjam,411519,Pandiripada,Polasara,Rural,0.0613538809506206,Covered
ganjam,411879,Uparbalantar,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411878,Gurapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411873,Kalakhuntabanjar,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411872,Kandigam,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411626,Sidhapalli,Kodala,Rural,0.0613538809506206,Covered
ganjam,411625,Talagan,Kodala,Rural,0.0613538809506206,Covered
ganjam,411838,Paikanheipur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411837,Gopalpur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411828,Bhakutugam,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411827,Telidiha,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411826,Patharakata,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411839,Patanakanheipur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411524,Tosingi,Polasara,Rural,0.0613538809506206,Covered
ganjam,411771,Nolasingh,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411822,Singipur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411612,Kolia,Kodala,Rural,0.0613538809506206,Covered
ganjam,411611,Gambharia,Kodala,Rural,0.0613538809506206,Covered
ganjam,411617,Gilinda,Kodala,Rural,0.0613538809506206,Covered
ganjam,411615,Baishnabakhuntakata,Kodala,Rural,0.0613538809506206,Covered
ganjam,411616,Sankhabhomi,Kodala,Rural,0.0613538809506206,Covered
ganjam,411614,Kumbharagan,Kodala,Rural,0.0613538809506206,Covered
ganjam,411831,Langaleswar Khara,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411830,Karapadar,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411829,Nizagantotapadar,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411836,Lochapada,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411835,Langaleswar,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411834,Bhejiput,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411618,Bariahetta,Kodala,Rural,0.0613538809506206,Covered
ganjam,411619,Shandhamula,Kodala,Rural,0.0613538809506206,Covered
ganjam,411833,Kamaladeipur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411607,Boriasahi,Kodala,Rural,0.0613538809506206,Covered
ganjam,411623,Pharkapalli,Kodala,Rural,0.0613538809506206,Covered
ganjam,411642,Salabana,Kodala,Rural,0.0613538809506206,Covered
ganjam,411641,Talasara,Kodala,Rural,0.0613538809506206,Covered
ganjam,410371,Saradhapur,Buguda,Rural,0.0613538809506206,Covered
ganjam,411824,Badhinuapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411522,Paneri,Polasara,Rural,0.0613538809506206,Covered
ganjam,411624,Nakuachhachina,Kodala,Rural,0.0613538809506206,Covered
ganjam,410370,Singipur,Buguda,Rural,0.0613538809506206,Covered
ganjam,410353,Karasingi,Buguda,Rural,0.0613538809506206,Covered
ganjam,410364,Karachuli,Buguda,Rural,0.0613538809506206,Covered
ganjam,410365,Jeak,Buguda,Rural,0.0613538809506206,Covered
ganjam,410366,Udayapur,Buguda,Rural,0.0613538809506206,Covered
ganjam,410367,Gahanapalli,Buguda,Rural,0.0613538809506206,Covered
ganjam,410368,Bhabasara,Buguda,Rural,0.0613538809506206,Covered
ganjam,410369,Jhadapada,Buguda,Rural,0.0613538809506206,Covered
ganjam,411613,Panasadiha,Kodala,Rural,0.0613538809506206,Covered
ganjam,411608,Chhatakhamba,Kodala,Rural,0.0613538809506206,Covered
ganjam,411811,Karoda Badi,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411809,Mahulabanka,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411808,Raisolapadar,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411801,Ratanpur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411791,Khariapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411800,Kaithara Banabila No 53,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411789,Khojapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411790,Raipada,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411786,Nuapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411605,Kumaripari,Kodala,Rural,0.0613538809506206,Covered
ganjam,411535,Khura,Polasara,Rural,0.0613538809506206,Covered
ganjam,411610,Angargan,Kodala,Rural,0.0613538809506206,Covered
ganjam,411948,Pathar CT,Khalikote,Urban,0.0613538809506206,Covered
ganjam,411603,Beguniadihi,Kodala,Rural,0.0613538809506206,Covered
ganjam,411812,Paladhuapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411533,Jhikiri,Polasara,Rural,0.0613538809506206,Covered
ganjam,411534,Raipada,Polasara,Rural,0.0613538809506206,Covered
ganjam,411813,Bhikapada,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411816,Maheswarpur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411817,Bagalpur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411815,Manikapur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411814,Raghudaspur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411832,Srinalinakhyapur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411529,Mahulapalli,Polasara,Rural,0.0613538809506206,Covered
ganjam,411840,Thekuapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411842,Kairasi,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411777,Bolamala Panchakania Balarampur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411819,Tentuliapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411820,Khaitadabanabila,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411821,Parinuagam,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411796,Aitipurbanabila,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411795,Kaithadabanabila,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411792,Badakhetabijayakrushnasaranpur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411794,Puruna Bada Kheta,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411805,Ustapada,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411806,Biripur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411793,Jamjholakheta,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411804,Aitipur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411797,Kumarsingh,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411649,Sankuda,Kodala,Rural,0.0613538809506206,Covered
ganjam,411658,Tabhajhola,Kodala,Rural,0.0613538809506206,Covered
ganjam,411807,Kiapalli,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411803,Lakhmanpur,Khalikote,Rural,0.0613538809506206,Covered
ganjam,411657,Chandapalli,Kodala,Rural,0.0613538809506206,Covered
ganjam,411656,Titiridi,Kodala,Rural,0.0613538809506206,Covered
ganjam,411609,Chhotraypur,Kodala,Rural,0.0613538809506206,Covered
ganjam,411606,Kalamatia,Kodala,Rural,0.0613538809506206,Covered
kalahandi,423345,Gudialipadar,Sadar,Rural,0.0615814474006005,Covered
nuapada,422224,Godal,Sinapali,Rural,0.061717703262998,Covered
koraput,428747,Chintaguda,Bandhugaon,Rural,0.0627734193513316,Covered
deogarh,383356,Adas,Reamal,Rural,0.063903928750257,Covered
sundargarh,384172,Kutra,Kutra,Rural,0.0639479205346012,Covered
kalahandi,423900,Shosia Susia,Golamunda,Rural,0.0639727862151672,Covered
sonepur,419010,Sulei,Rampur,Rural,0.0660242855804053,Covered
sundargarh,384940,Raikela,Lahunipara,Rural,0.0664825695543558,Covered
mayurbhanj,387375,Jadunathpur,Tiring,Rural,0.0665705293699871,Covered
