district,village_id,name,subdistrict,tru_2011,nearest_dist_km,covered
baleshwar,392832,Karanaghanti,Baleshwar Sadar,Rural,0.0147575961200488,Covered
kandhamal,417316,Bamunigan,Brahmanigaon,Rural,0.0211959530209487,Covered
balangir,420292,Ramchandrapur,Tushura,Rural,0.0246936726893284,Covered
cuttack,398810,Satakudia,Badamba,Rural,0.0247761485294397,Covered
boudh,418660,Bhimkhol,Puruna Katak,Rural,0.03108822029213,Covered
baleshwar,392864,Bedipur,Baleshwar Sadar,Rural,0.031545407135449,Covered
mayurbhanj,391228,Bidyadharanagar,Sharata,Rural,0.0403555033653534,Covered
mayurbhanj,391229,Salachua,Sharata,Rural,0.0403555033653534,Covered
baleshwar,391920,Nichintadiha,Kamarda,Rural,0.040849186261105,Covered
kandhamal,416918,Balki,Tumudibandha,Rural,0.0427150366862483,Covered
baleshwar,393308,Garadihi,Berhampur,Rural,0.045733364320156,Covered
baleshwar,392833,Shergada,Baleshwar Sadar,Rural,0.0467687713988147,Covered
mayurbhanj,390367,Nadpur,Baisinga,Rural,0.0480044879117708,Covered
mayurbhanj,390974,Sainkula,Khunta,Rural,0.0481781963979072,Covered
ganjam,410589,Bahadpadar,Bhanjanagar,Rural,0.0561852647700525,Covered
kandhamal,415686,Selingigudari,Khajuripada,Rural,0.0597001034664346,Covered
baleshwar,393310,Sirsasahi,Berhampur,Rural,0.060628292563614,Covered
kandhamal,416919,Kapibira,Tumudibandha,Rural,0.0618906541477155,Covered
mayurbhanj,389815,Kantisahi,Suliapada,Rural,0.0684856570917238,Covered
mayurbhanj,387758,Chadeipahadi,Gorumahisani,Rural,0.0687025396550328,Covered
kalahandi,422759,Rupraroad,Narala,Rural,0.0694385016874055,Covered
jagatsinghpur,398418,Tarasahi,Balikuda,Rural,0.0725446854603788,Covered
jagatsinghpur,397288,Badakantakandha,Kujang,Rural,0.0767077105620597,Covered
nabarangpur,427990,Anchala Guma,Tentulikhunti,Rural,0.0820224448962225,Covered
mayurbhanj,388445,Godapalasa,Jashipur,Rural,0.0890135113129849,Covered
baleshwar,393459,Pitagadia,Khaira,Rural,0.0893878782938893,Covered
baleshwar,392348,Basantapur,Basta,Rural,0.0909902275305756,Covered
mayurbhanj,387636,Chitritangar,Jamda,Rural,0.0925824484550843,Covered
mayurbhanj,387631,Hill No 1,Jamda,Rural,0.0925824484550843,Covered
mayurbhanj,387632,Sunamara,Jamda,Rural,0.0925824484550843,Covered
keonjhar,386497,Saria,Pandapara,Rural,0.0968901264287561,Covered
bargarh,380402,Saipali,Bijepur,Rural,0.0996185633251387,Covered
mayurbhanj,389714,Chahalapada,Chandua,Rural,0.1013325899156773,Covered
mayurbhanj,389713,Chalunia,Chandua,Rural,0.1013325899156773,Covered
mayurbhanj,389712,Tangasole,Chandua,Rural,0.1013325899156773,Covered
mayurbhanj,389697,Baunsabani,Chandua,Rural,0.1013325899156773,Covered
balangir,421266,Belpara,Bangomunda,Rural,0.1015664408956934,Covered
keonjhar,386122,Bayakumutia,Kendujhar Sadar,Rural,0.1020818013547213,Covered
bargarh,380901,Kumelsingha,Attabira,Rural,0.1042691306189441,Covered
baleshwar,392352,Chhindaghai,Basta,Rural,0.1065181669639316,Covered
nayagarh,406150,Pathuria,Fategarh,Rural,0.1114281362246644,Covered
kalahandi,422735,Rukhamunda,Narala,Rural,0.1142865198356565,Covered
kalahandi,422353,Titkela,Kesinga,Rural,0.1142865198356565,Covered
balangir,421273,Bhalumunda,Bangomunda,Rural,0.11610043435587,Covered
baleshwar,393566,Janhiapada,Khaira,Rural,0.1162782161562389,Covered
balangir,421280,Limpara,Bangomunda,Rural,0.1186031845175385,Covered
balangir,421172,Ghunsar,Saintala,Rural,0.1225079070480464,Covered
sonepur,419520,Hariharjor,Subalaya,Rural,0.1291345098903155,Covered
boudh,418821,Dumukutch,Harbhanga,Rural,0.1312962814367382,Covered
boudh,418819,Gobindapur,Harbhanga,Rural,0.1312962814367382,Covered
boudh,418820,Talagaon,Harbhanga,Rural,0.1312962814367382,Covered
rayagada,426269,Minajhola,Rayagada,Rural,0.1368944542916038,Covered
balangir,420941,Khalipathar,Belpara,Rural,0.1374194412241349,Covered
jagatsinghpur,397309,Dhinkia,Abhyachandpur,Rural,0.1399718034414147,Covered
sambalpur,381891,Kalapat,Jamankira,Rural,0.1402645012007608,Covered
baleshwar,393216,Santragadia,Nilagiri,Rural,0.145902457845217,Covered
koraput,428168,Chandili,Kotpad,Rural,0.1478120368666503,Covered
mayurbhanj,388514,Aktapal,Jashipur,Rural,0.147876082609122,Covered
balangir,421284,Patrapali,Bangomunda,Rural,0.1499205319692307,Covered
baleshwar,393213,Sabajapur,Nilagiri,Rural,0.1512151921432245,Covered
baleshwar,393209,Daladali,Nilagiri,Rural,0.1512151921432245,Covered
mayurbhanj,389775,Kalajhinei,Chandua,Rural,0.1515779581610769,Covered
mayurbhanj,388784,Ghagarbeda,Ghagarbeda,Rural,0.151623902531094,Covered
mayurbhanj,387635,Hensada,Jamda,Rural,0.1529204069251645,Covered
mayurbhanj,390993,Bankigadi,Khunta,Rural,0.1564564522965152,Covered
rayagada,425641,Pamada,Kalyanasingpur,Rural,0.1584182643371314,Covered
nayagarh,406151,Banamalipur,Fategarh,Rural,0.1584889531248517,Covered
bargarh,380889,Janhapada,Attabira,Rural,0.1586550261589374,Covered
mayurbhanj,388777,Rangamatia,Ghagarbeda,Rural,0.1587234386702345,Covered
mayurbhanj,388776,Narasandha,Ghagarbeda,Rural,0.1587234386702345,Covered
mayurbhanj,388778,Kudarasahi,Ghagarbeda,Rural,0.1587234386702345,Covered
mayurbhanj,388783,Bamanposi,Ghagarbeda,Rural,0.1587234386702345,Covered
malkangiri,430384,Disariguda,Mathili,Rural,0.1591375237451084,Covered
keonjhar,385799,Saharapada,Patana,Rural,0.1595451115008768,Covered
sambalpur,382578,Batgaon,Naktideul,Rural,0.1599177738412016,Covered
sonepur,419334,Jaloi,Biramaharajpur,Rural,0.1624808524616705,Covered
