district_x,Total_Villages,Uncovered_Villages,Uncovered_Percentage
khordha,1547,728,47.06
kendrapara,1548,505,32.62
puri,1711,227,13.27
jajapur,1791,230,12.84
gajapati,1617,186,11.5
deogarh,879,84,9.56
cuttack,1959,111,5.67
sambalpur,1317,73,5.54
nayagarh,1701,82,4.82
rayagada,2672,127,4.75
koraput,2029,92,4.53
kandhamal,2591,114,4.4
kalahandi,2257,71,3.15
boudh,1188,37,3.11
malkangiri,972,30,3.09
sundargarh,1773,49,2.76
anugul,1888,44,2.33
kendujhar,2130,44,2.07
nuapada,670,13,1.94
jagatsinghapur,1296,23,1.77
sonepur,965,14,1.45
bargarh,1214,12,0.99
balangir,1791,16,0.89
ganjam,3232,25,0.77
nabarangpur,892,6,0.67
dhenkanal,1213,8,0.66
mayurbhanj,3953,10,0.25
baleshwar,2935,4,0.14
jharsuguda,356,0,0.0
bhadrak,1317,0,0.0
